"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12903","@regression @shippingSame E2E con dirección de envío igual","regression","Thu Jul 10 22:30:10 CEST 2025","passed","Thu Jul 10 22:30:23 CEST 2025","","checkout-same-address.spec.ts","",""
"","13019","@regression @shippingSame E2E con dirección de envío igual","shipping-same","Thu Jul 10 22:30:10 CEST 2025","passed","Thu Jul 10 22:30:23 CEST 2025","","checkout-same-address.spec.ts","",""
"","14008","@regression @shippingDiff E2E con dirección de envío diferente","regression","Thu Jul 10 22:30:10 CEST 2025","passed","Thu Jul 10 22:30:24 CEST 2025","","checkout-different-address.spec.ts","",""
"","14861","@regression @shippingDiff E2E con dirección de envío diferente","shipping-diff","Thu Jul 10 22:30:10 CEST 2025","passed","Thu Jul 10 22:30:25 CEST 2025","","checkout-different-address.spec.ts","",""
